Year,ARDY,Cohort,Total
1972,51,1921,6.67
1972,52,1920,3.02
1972,53,1919,1.22
1972,54,1918,0.35
1972,55+,1917-,0.04
1973,12-,1961+,0.02
1973,13,1960,0.58
1973,14,1959,11.28
1973,15,1958,127.84
1973,16,1957,746.1
1973,17,1956,2945.26
1973,18,1955,8852.09
1973,19,1954,20166.66
1973,20,1953,35916.62
1973,21,1952,50237.72
1973,22,1951,59451.16
1973,23,1950,60153.99
1973,24,1949,55090.71
1973,25,1948,50630.03
1973,26,1947,42832.37
1973,27,1946,35201.94
1973,28,1945,23194.56
1973,29,1944,20744.75
1973,30,1943,18142.24
1973,31,1942,15600.48
1973,32,1941,14455.53
1973,33,1940,13844.87
1973,34,1939,12655.37
1973,35,1938,10937.2
1973,36,1937,9476.15
1973,37,1936,8449.85
1973,38,1935,7133.48
1973,39,1934,5795.85
1973,40,1933,4796.17
1973,41,1932,4038.09
1973,42,1931,2791.35
1973,43,1930,1846.83
1973,44,1929,1027.99
1973,45,1928,577.73
1973,46,1927,315.99
1973,47,1926,185.64
1973,48,1925,98.82
1973,49,1924,43.06
1973,50,1923,19.18
1973,51,1922,8.27
1973,52,1921,3.18
1973,53,1920,1.46
1973,54,1919,0.49
1973,55+,1918-,0.04
1974,12-,1962+,0.02
1974,13,1961,0.59
1974,14,1960,12.14
1974,15,1959,134.5
1974,16,1958,800.27
1974,17,1957,3104.72
1974,18,1956,9135.23
1974,19,1955,21505.76
1974,20,1954,37205.09
1974,21,1953,50639.26
1974,22,1952,60034.08
1974,23,1951,62678.81
1974,24,1950,58735.59
1974,25,1949,51553.87
1974,26,1948,46284.61
1974,27,1947,38745.1
1974,28,1946,31462.74
1974,29,1945,20703.59
1974,30,1944,18617.93
1974,31,1943,15900.69
1974,32,1942,13367.69
1974,33,1941,12562.8
1974,34,1940,11945.97
1974,35,1939,10657.96
1974,36,1938,9347.58
1974,37,1937,7925.38
1974,38,1936,6853.84
1974,39,1935,5757.53
1974,40,1934,4841.44
1974,41,1933,3772.27
1974,42,1932,2715.56
1974,43,1931,1719.24
1974,44,1930,1075.02
1974,45,1929,578.72
1974,46,1928,341.4
1974,47,1927,185.34
1974,48,1926,95.67
1974,49,1925,47.34
1974,50,1924,19.88
1974,51,1923,8.81
1974,52,1922,3.84
1974,53,1921,1.5
1974,54,1920,0.59
1974,55+,1919-,0.06
1975,12-,1963+,0.02
1975,13,1962,0.66
1975,14,1961,13.43
1975,15,1960,151.78
1975,16,1959,831.34
1975,17,1958,3277.4
1975,18,1957,9577.6
1975,19,1956,21797.84
1975,20,1955,38615.31
1975,21,1954,51499.46
1975,22,1953,60176.92
1975,23,1952,63156.18
1975,24,1951,61221.65
1975,25,1950,55463.44
1975,26,1949,47701.94
1975,27,1948,41939.87
1975,28,1947,34617.69
1975,29,1946,28174.31
1975,30,1945,18470.3
1975,31,1944,16477.48
1975,32,1943,13896.69
1975,33,1942,11701.13
1975,34,1941,10973.33
1975,35,1940,10411.51
1975,36,1939,9095.22
1975,37,1938,7764.18
1975,38,1937,6567.42
1975,39,1936,5619.46
1975,40,1935,4463.28
1975,41,1934,3361.85
1975,42,1933,2439.12
1975,43,1932,1788.62
1975,44,1931,1229.46
1975,45,1930,700.35
1975,46,1929,306.54
1975,47,1928,157.38
1975,48,1927,70.4
1975,49,1926,33.22
1975,50,1925,16.05
1975,51,1924,6.9
1975,52,1923,3.22
1975,53,1922,1.47
1975,54,1921,0.51
1975,55+,1920-,0.06
1976,12-,1964+,0.02
1976,13,1963,0.57
1976,14,1962,11.18
1976,15,1961,130.44
1976,16,1960,863.39
1976,17,1959,3374.97
1976,18,1958,9896.9
1976,19,1957,22345.86
1976,20,1956,38862.46
1976,21,1955,53904.71
1976,22,1954,62322.31
1976,23,1953,64810.1
1976,24,1952,63004.09
1976,25,1951,58443.61
1976,26,1950,51584.01
1976,27,1949,43343.26
1976,28,1948,37566.61
1976,29,1947,30766.95
1976,30,1946,24868.19
1976,31,1945,16179.93
1976,32,1944,14407.07
1976,33,1943,12202.05
1976,34,1942,10274.57
1976,35,1941,9449.82
1976,36,1940,8746.08
1976,37,1939,7652.33
1976,38,1938,6331.14
1976,39,1937,5141.48
1976,40,1936,4209.39
1976,41,1935,3185.67
1976,42,1934,2366.17
1976,43,1933,1617.03
1976,44,1932,1089.44
1976,45,1931,594.17
1976,46,1930,307.39
1976,47,1929,151.93
1976,48,1928,73.86
1976,49,1927,32.39
1976,50,1926,15.34
1976,51,1925,7.55
1976,52,1924,3.32
1976,53,1923,1.57
1976,54,1922,0.6
1976,55+,1921-,0.06
1977,12-,1965+,0.02
1977,13,1964,0.57
1977,14,1963,11.74
1977,15,1962,133.06
1977,16,1961,809.86
1977,17,1960,3281.96
1977,18,1959,9398.37
1977,19,1958,21813.87
1977,20,1957,37920.37
1977,21,1956,52033.89
1977,22,1955,61792.08
1977,23,1954,63552.71
1977,24,1953,61723.94
1977,25,1952,57333.48
1977,26,1951,51148.17
1977,27,1950,44330.81
1977,28,1949,37295.72
1977,29,1948,32203.79
1977,30,1947,25785.83
1977,31,1946,20654.03
1977,32,1945,13392.97
1977,33,1944,11942.42
1977,34,1943,10060.72
1977,35,1942,8246.76
1977,36,1941,7533.85
1977,37,1940,6985.21
1977,38,1939,5891.01
1977,39,1938,4792.58
1977,40,1937,3795.84
1977,41,1936,2978.39
1977,42,1935,2184.02
1977,43,1934,1473.53
1977,44,1933,890.5
1977,45,1932,540.56
1977,46,1931,311.46
1977,47,1930,180.88
1977,48,1929,85.06
1977,49,1928,40.18
1977,50,1927,17.25
1977,51,1926,8.11
1977,52,1925,3.96
1977,53,1924,1.73
1977,54,1923,0.68
1977,55+,1922-,0.08
1978,12-,1966+,0.01
1978,13,1965,0.51
1978,14,1964,10.24
1978,15,1963,122.21
1978,16,1962,756.88
1978,17,1961,2996.56
1978,18,1960,8946.76
1978,19,1959,20385.7
1978,20,1958,37509.89
1978,21,1957,51614.7
1978,22,1956,60696.61
1978,23,1955,64388.6
1978,24,1954,61542.3
1978,25,1953,57439.52
1978,26,1952,52062.17
1978,27,1951,45431.5
1978,28,1950,38671.75
1978,29,1949,32156.99
1978,30,1948,27985.47
1978,31,1947,22349.05
1978,32,1946,17652.85
1978,33,1945,11370.24
1978,34,1944,10045.7
1978,35,1943,8296.01
1978,36,1942,6679.41
1978,37,1941,5985.83
1978,38,1940,5489.82
1978,39,1939,4578.75
1978,40,1938,3464.8
1978,41,1937,2562.88
1978,42,1936,1987.97
1978,43,1935,1338.75
1978,44,1934,824.98
1978,45,1933,462.68
1978,46,1932,257.83
1978,47,1931,138.1
1978,48,1930,71.95
1978,49,1929,32.34
1978,50,1928,15.26
1978,51,1927,6.73
1978,52,1926,3.3
1978,53,1925,1.68
1978,54,1924,0.63
1978,55+,1923-,0.08
1979,12-,1967+,0.02
1979,13,1966,0.55
1979,14,1965,10.99
1979,15,1964,125.09
1979,16,1963,753.21
1979,17,1962,2845.47
1979,18,1961,8239.53
1979,19,1960,19925.05
1979,20,1959,36052.01
1979,21,1958,52068.95
1979,22,1957,61717.58
1979,23,1956,65423.96
1979,24,1955,64418.52
1979,25,1954,59141.98
1979,26,1953,53582.2
1979,27,1952,47750.28
1979,28,1951,41251.76
1979,29,1950,34663.78
1979,30,1949,28713.85
1979,31,1948,24614.49
1979,32,1947,19727.58
1979,33,1946,15556.61
1979,34,1945,9801.3
1979,35,1944,8616.44
1979,36,1943,7159.03
1979,37,1942,5772.99
1979,38,1941,4897.56
1979,39,1940,4343.41
1979,40,1939,3546.98
1979,41,1938,2570.17
1979,42,1937,1872.79
1979,43,1936,1357.35
1979,44,1935,791.59
1979,45,1934,436.86
1979,46,1933,252.16
1979,47,1932,147.8
1979,48,1931,74.65
1979,49,1930,37.73
1979,50,1929,16.76
1979,51,1928,7.92
1979,52,1927,3.52
1979,53,1926,1.72
1979,54,1925,0.73
1979,55+,1924-,0.08
1980,12-,1968+,0.02
1980,13,1967,0.59
1980,14,1966,11.73
1980,15,1965,128.4
1980,16,1964,705.19
1980,17,1963,2753.85
1980,18,1962,7995.83
1980,19,1961,18149.17
1980,20,1960,34364.47
1980,21,1959,49637.67
1980,22,1958,61747.22
1980,23,1957,65479.52
1980,24,1956,64677.52
1980,25,1955,60883.45
1980,26,1954,54193.41
1980,27,1953,47922.47
1980,28,1952,41780.37
1980,29,1951,35991.66
1980,30,1950,30438.24
1980,31,1949,24860.12
1980,32,1948,21082.73
1980,33,1947,16652.23
1980,34,1946,13230.43
1980,35,1945,8383.19
1980,36,1944,7147.65
1980,37,1943,5769.2
1980,38,1942,4506.79
1980,39,1941,3836.45
1980,40,1940,3304.55
1980,41,1939,2516.51
1980,42,1938,1754.7
1980,43,1937,1185.23
1980,44,1936,777.33
1980,45,1935,436.76
1980,46,1934,236.4
1980,47,1933,127.39
1980,48,1932,67.66
1980,49,1931,32.53
1980,50,1930,16.22
1980,51,1929,7.29
1980,52,1928,3.53
1980,53,1927,1.6
1980,54,1926,0.66
1980,55+,1925-,0.09
1981,12-,1969+,0.02
1981,13,1968,0.58
1981,14,1967,11.08
1981,15,1966,124.32
1981,16,1965,709.9
1981,17,1964,2680.05
1981,18,1963,7627.12
1981,19,1962,17162.27
1981,20,1961,31226.79
1981,21,1960,46241.23
1981,22,1959,57314.76
1981,23,1958,64512.59
1981,24,1957,63633.99
1981,25,1956,59485.88
1981,26,1955,54063.7
1981,27,1954,47053.19
1981,28,1953,41007.62
1981,29,1952,35740.7
1981,30,1951,30698.54
1981,31,1950,25544.27
1981,32,1949,20642.07
1981,33,1948,17715.7
1981,34,1947,14022.17
1981,35,1946,10885.15
1981,36,1945,6790.63
1981,37,1944,5823.33
1981,38,1943,4631.99
1981,39,1942,3519.56
1981,40,1941,2944.26
1981,41,1940,2462.11
1981,42,1939,1761.23
1981,43,1938,1136.51
1981,44,1937,713.88
1981,45,1936,400.72
1981,46,1935,200.08
1981,47,1934,104.83
1981,48,1933,51.91
1981,49,1932,26.66
1981,50,1931,12.83
1981,51,1930,6.56
1981,52,1929,3.05
1981,53,1928,1.52
1981,54,1927,0.58
1981,55+,1926-,0.07
1982,12-,1970+,0.02
1982,13,1969,0.54
1982,14,1968,10.59
1982,15,1967,121.18
1982,16,1966,765.41
1982,17,1965,2905.53
1982,18,1964,8058.2
1982,19,1963,18157.71
1982,20,1962,31631.65
1982,21,1961,44724.33
1982,22,1960,57040.52
1982,23,1959,62930.68
1982,24,1958,65271.46
1982,25,1957,61193.33
1982,26,1956,55131.46
1982,27,1955,49247.66
1982,28,1954,42453.71
1982,29,1953,36845.98
1982,30,1952,32275.02
1982,31,1951,27563.1
1982,32,1950,22968.91
1982,33,1949,18860.27
1982,34,1948,16073.11
1982,35,1947,12743.46
1982,36,1946,9987.69
1982,37,1945,6180.22
1982,38,1944,5149.27
1982,39,1943,3982.44
1982,40,1942,3016.53
1982,41,1941,2382.86
1982,42,1940,1801.26
1982,43,1939,1263.43
1982,44,1938,746.83
1982,45,1937,395.65
1982,46,1936,229.02
1982,47,1935,123.21
1982,48,1934,61.21
1982,49,1933,29.44
1982,50,1932,14.88
1982,51,1931,7.14
1982,52,1930,3.65
1982,53,1929,1.68
1982,54,1928,0.69
1982,55+,1927-,0.08
1983,12-,1971+,0.02
1983,13,1970,0.65
1983,14,1969,12.31
1983,15,1968,142.07
1983,16,1967,814.96
1983,17,1966,2955.2
1983,18,1965,8052.04
1983,19,1964,17849.96
1983,20,1963,31606.93
1983,21,1962,43903.1
1983,22,1961,53952.96
1983,23,1960,61542.37
1983,24,1959,63529.54
1983,25,1958,63674.13
1983,26,1957,58376.92
1983,27,1956,52178.33
1983,28,1955,45887.23
1983,29,1954,39409.11
1983,30,1953,34495.48
1983,31,1952,29474.08
1983,32,1951,24763.52
1983,33,1950,20660.14
1983,34,1949,16566.08
1983,35,1948,13924.27
1983,36,1947,10796.79
1983,37,1946,8067.35
1983,38,1945,4916.38
1983,39,1944,4035.49
1983,40,1943,2980.43
1983,41,1942,2089.63
1983,42,1941,1528.52
1983,43,1940,1112.59
1983,44,1939,710.72
1983,45,1938,368.78
1983,46,1937,181
1983,47,1936,100.39
1983,48,1935,49.54
1983,49,1934,23.92
1983,50,1933,11.62
1983,51,1932,6.09
1983,52,1931,3.05
1983,53,1930,1.6
1983,54,1929,0.63
1983,55+,1928-,0.08
1984,12-,1972+,0.02
1984,13,1971,0.72
1984,14,1970,14.25
1984,15,1969,157.89
1984,16,1968,909.3
1984,17,1967,3156.06
1984,18,1966,8340.66
1984,19,1965,17840.87
1984,20,1964,30760.4
1984,21,1963,43170.49
1984,22,1962,51369.29
1984,23,1961,56244.66
1984,24,1960,59741.1
1984,25,1959,58320.44
1984,26,1958,56328.99
1984,27,1957,50397.24
1984,28,1956,44181.41
1984,29,1955,39232.43
1984,30,1954,33860.4
1984,31,1953,28897.73
1984,32,1952,24570
1984,33,1951,20903.5
1984,34,1950,17545.24
1984,35,1949,14037.61
1984,36,1948,11502.96
1984,37,1947,8659.45
1984,38,1946,6394.86
1984,39,1945,3752.87
1984,40,1944,2903.28
1984,41,1943,2039.33
1984,42,1942,1405.89
1984,43,1941,986.49
1984,44,1940,635.37
1984,45,1939,363.6
1984,46,1938,197.6
1984,47,1937,108.01
1984,48,1936,57.5
1984,49,1935,27.75
1984,50,1934,13.22
1984,51,1933,6.38
1984,52,1932,3.32
1984,53,1931,1.64
1984,54,1930,0.7
1984,55+,1929-,0.08
1985,12-,1973+,2
1985,13,1972,5
1985,14,1971,26
1985,15,1970,179
1985,16,1969,840
1985,17,1968,3157
1985,18,1967,7863
1985,19,1966,17375
1985,20,1965,30041
1985,21,1964,41571
1985,22,1963,49817
1985,23,1962,53971
1985,24,1961,54707
1985,25,1960,54676
1985,26,1959,52378
1985,27,1958,48788
1985,28,1957,43508
1985,29,1956,37739
1985,30,1955,33584
1985,31,1954,28105
1985,32,1953,24436
1985,33,1952,20336
1985,34,1951,17327
1985,35,1950,14490
1985,36,1949,11403
1985,37,1948,9449
1985,38,1947,6919
1985,39,1946,4782
1985,40,1945,2808
1985,41,1944,1997
1985,42,1943,1408
1985,43,1942,837
1985,44,1941,501
1985,45,1940,362
1985,46,1939,192
1985,47,1938,100
1985,48,1937,49
1985,49,1936,21
1985,50,1935,7
1985,51,1934,2
1985,52,1933,1
1985,53,1932,2
1985,54,1931,1
1985,55+,1930-,2
1986,12-,1974+,0
1986,13,1973,7
1986,14,1972,34
1986,15,1971,154
1986,16,1970,767
1986,17,1969,2937
1986,18,1968,7686
1986,19,1967,16466
1986,20,1966,28416
1986,21,1965,39122
1986,22,1964,46663
1986,23,1963,50351
1986,24,1962,50282
1986,25,1961,48919
1986,26,1960,47376
1986,27,1959,44522
1986,28,1958,40848
1986,29,1957,36207
1986,30,1956,31145
1986,31,1955,26997
1986,32,1954,22682
1986,33,1953,19768
1986,34,1952,16626
1986,35,1951,13978
1986,36,1950,11288
1986,37,1949,9178
1986,38,1948,7036
1986,39,1947,5194
1986,40,1946,3415
1986,41,1945,1999
1986,42,1944,1346
1986,43,1943,871
1986,44,1942,473
1986,45,1941,260
1986,46,1940,167
1986,47,1939,86
1986,48,1938,31
1986,49,1937,30
1986,50,1936,10
1986,51,1935,3
1986,52,1934,3
1986,53,1933,1
1986,54,1932,1
1986,55+,1931-,1
1987,12-,1975+,0
1987,13,1974,2
1987,14,1973,37
1987,15,1972,182
1987,16,1971,773
1987,17,1970,3098
1987,18,1969,7618
1987,19,1968,16702
1987,20,1967,27906
1987,21,1966,37734
1987,22,1965,44665
1987,23,1964,47942
1987,24,1963,48229
1987,25,1962,45917
1987,26,1961,42787
1987,27,1960,40983
1987,28,1959,37190
1987,29,1958,34224
1987,30,1957,30318
1987,31,1956,25621
1987,32,1955,22632
1987,33,1954,18733
1987,34,1953,15955
1987,35,1952,13511
1987,36,1951,11193
1987,37,1950,8939
1987,38,1949,7001
1987,39,1948,5310
1987,40,1947,3769
1987,41,1946,2460
1987,42,1945,1331
1987,43,1944,886
1987,44,1943,470
1987,45,1942,239
1987,46,1941,140
1987,47,1940,85
1987,48,1939,34
1987,49,1938,16
1987,50,1937,12
1987,51,1936,7
1987,52,1935,0
1987,53,1934,0
1987,54,1933,2
1987,55+,1932-,0
1988,12-,1976+,0
1988,13,1975,5
1988,14,1974,32
1988,15,1973,178
1988,16,1972,834
1988,17,1971,3053
1988,18,1970,7961
1988,19,1969,16834
1988,20,1968,27733
1988,21,1967,36777
1988,22,1966,43227
1988,23,1965,46375
1988,24,1964,46145
1988,25,1963,44502
1988,26,1962,41228
1988,27,1961,38291
1988,28,1960,35393
1988,29,1959,32669
1988,30,1958,29596
1988,31,1957,26098
1988,32,1956,22081
1988,33,1955,19154
1988,34,1954,15799
1988,35,1953,13301
1988,36,1952,11014
1988,37,1951,9086
1988,38,1950,7089
1988,39,1949,5417
1988,40,1948,3945
1988,41,1947,2670
1988,42,1946,1677
1988,43,1945,808
1988,44,1944,487
1988,45,1943,266
1988,46,1942,123
1988,47,1941,54
1988,48,1940,41
1988,49,1939,14
1988,50,1938,6
1988,51,1937,4
1988,52,1936,1
1988,53,1935,1
1988,54,1934,0
1988,55+,1933-,3
1989,12-,1977+,0
1989,13,1976,5
1989,14,1975,29
1989,15,1974,204
1989,16,1973,889
1989,17,1972,3294
1989,18,1971,8107
1989,19,1970,17263
1989,20,1969,27716
1989,21,1968,36196
1989,22,1967,42139
1989,23,1966,44475
1989,24,1965,44113
1989,25,1964,42382
1989,26,1963,39407
1989,27,1962,35409
1989,28,1961,32207
1989,29,1960,30236
1989,30,1959,27437
1989,31,1958,24891
1989,32,1957,21382
1989,33,1956,18080
1989,34,1955,15309
1989,35,1954,12721
1989,36,1953,10650
1989,37,1952,8666
1989,38,1951,6982
1989,39,1950,5310
1989,40,1949,3814
1989,41,1948,2658
1989,42,1947,1721
1989,43,1946,993
1989,44,1945,470
1989,45,1944,257
1989,46,1943,133
1989,47,1942,51
1989,48,1941,27
1989,49,1940,20
1989,50,1939,9
1989,51,1938,1
1989,52,1937,0
1989,53,1936,0
1989,54,1935,0
1989,55+,1934-,1
1990,12-,1978+,2
1990,13,1977,5
1990,14,1976,48
1990,15,1975,197
1990,16,1974,1032
1990,17,1973,3556
1990,18,1972,8806
1990,19,1971,18073
1990,20,1970,28897
1990,21,1969,36946
1990,22,1968,41697
1990,23,1967,43062
1990,24,1966,42200
1990,25,1965,40002
1990,26,1964,37032
1990,27,1963,33806
1990,28,1962,29872
1990,29,1961,27029
1990,30,1960,25199
1990,31,1959,22749
1990,32,1958,20343
1990,33,1957,18047
1990,34,1956,14966
1990,35,1955,12920
1990,36,1954,10434
1990,37,1953,8615
1990,38,1952,6852
1990,39,1951,5484
1990,40,1950,4146
1990,41,1949,2753
1990,42,1948,1907
1990,43,1947,1122
1990,44,1946,560
1990,45,1945,235
1990,46,1944,93
1990,47,1943,38
1990,48,1942,23
1990,49,1941,8
1990,50,1940,12
1990,51,1939,1
1990,52,1938,2
1990,53,1937,2
1990,54,1936,1
1990,55+,1935-,0
1991,12-,1979+,0
1991,13,1978,3
1991,14,1977,36
1991,15,1976,229
1991,16,1975,1105
1991,17,1974,3739
1991,18,1973,9325
1991,19,1972,18660
1991,20,1971,29329
1991,21,1970,37848
1991,22,1969,41963
1991,23,1968,42836
1991,24,1967,41232
1991,25,1966,39020
1991,26,1965,35981
1991,27,1964,32778
1991,28,1963,29719
1991,29,1962,25898
1991,30,1961,23662
1991,31,1960,22061
1991,32,1959,19926
1991,33,1958,17673
1991,34,1957,15367
1991,35,1956,12840
1991,36,1955,10926
1991,37,1954,8804
1991,38,1953,7272
1991,39,1952,5355
1991,40,1951,4268
1991,41,1950,3023
1991,42,1949,1924
1991,43,1948,1212
1991,44,1947,682
1991,45,1946,281
1991,46,1945,105
1991,47,1944,54
1991,48,1943,18
1991,49,1942,12
1991,50,1941,10
1991,51,1940,1
1991,52,1939,1
1991,53,1938,0
1991,54,1937,1
1991,55+,1936-,2
1992,12-,1980+,0
1992,13,1979,13
1992,14,1978,43
1992,15,1977,207
1992,16,1976,1035
1992,17,1975,3550
1992,18,1974,8599
1992,19,1973,17506
1992,20,1972,27633
1992,21,1971,34866
1992,22,1970,40062
1992,23,1969,40321
1992,24,1968,38742
1992,25,1967,36571
1992,26,1966,33720
1992,27,1965,30467
1992,28,1964,27661
1992,29,1963,24892
1992,30,1962,22074
1992,31,1961,19672
1992,32,1960,18120
1992,33,1959,16374
1992,34,1958,14529
1992,35,1957,12826
1992,36,1956,10589
1992,37,1955,8736
1992,38,1954,7001
1992,39,1953,5442
1992,40,1952,4158
1992,41,1951,2981
1992,42,1950,1976
1992,43,1949,1185
1992,44,1948,683
1992,45,1947,340
1992,46,1946,126
1992,47,1945,50
1992,48,1944,22
1992,49,1943,14
1992,50,1942,6
1992,51,1941,3
1992,52,1940,1
1992,53,1939,1
1992,54,1938,0
1992,55+,1937-,5
1993,12-,1981+,1
1993,13,1980,6
1993,14,1979,44
1993,15,1978,204
1993,16,1977,944
1993,17,1976,3421
1993,18,1975,8304
1993,19,1974,16406
1993,20,1973,25940
1993,21,1972,32738
1993,22,1971,37514
1993,23,1970,38668
1993,24,1969,36930
1993,25,1968,35008
1993,26,1967,31724
1993,27,1966,28988
1993,28,1965,26292
1993,29,1964,23788
1993,30,1963,21374
1993,31,1962,18628
1993,32,1961,16955
1993,33,1960,15561
1993,34,1959,14126
1993,35,1958,12666
1993,36,1957,11076
1993,37,1956,9078
1993,38,1955,7370
1993,39,1954,5664
1993,40,1953,4430
1993,41,1952,3159
1993,42,1951,2177
1993,43,1950,1380
1993,44,1949,757
1993,45,1948,334
1993,46,1947,161
1993,47,1946,77
1993,48,1945,12
1993,49,1944,10
1993,50,1943,3
1993,51,1942,1
1993,52,1941,3
1993,53,1940,2
1993,54,1939,0
1993,55+,1938-,0
1994,12-,1982+,0
1994,13,1981,2
1994,14,1980,28
1994,15,1979,204
1994,16,1978,926
1994,17,1977,3068
1994,18,1976,7726
1994,19,1975,15335
1994,20,1974,24094
1994,21,1973,31003
1994,22,1972,35202
1994,23,1971,36705
1994,24,1970,35979
1994,25,1969,33441
1994,26,1968,30818
1994,27,1967,27824
1994,28,1966,25129
1994,29,1965,22674
1994,30,1964,20399
1994,31,1963,18288
1994,32,1962,16260
1994,33,1961,14469
1994,34,1960,13499
1994,35,1959,12191
1994,36,1958,10766
1994,37,1957,9167
1994,38,1956,7521
1994,39,1955,5945
1994,40,1954,4602
1994,41,1953,3403
1994,42,1952,2169
1994,43,1951,1344
1994,44,1950,818
1994,45,1949,359
1994,46,1948,178
1994,47,1947,63
1994,48,1946,20
1994,49,1945,10
1994,50,1944,1
1994,51,1943,2
1994,52,1942,0
1994,53,1941,2
1994,54,1940,0
1994,55+,1939-,1
1995,12-,1983+,0
1995,13,1982,5
1995,14,1981,24
1995,15,1980,158
1995,16,1979,826
1995,17,1978,2837
1995,18,1977,7046
1995,19,1976,14390
1995,20,1975,22257
1995,21,1974,28964
1995,22,1973,33334
1995,23,1972,34634
1995,24,1971,34327
1995,25,1970,32778
1995,26,1969,29833
1995,27,1968,26508
1995,28,1967,23788
1995,29,1966,21182
1995,30,1965,19097
1995,31,1964,16941
1995,32,1963,14973
1995,33,1962,13235
1995,34,1961,11814
1995,35,1960,10803
1995,36,1959,9512
1995,37,1958,8315
1995,38,1957,6961
1995,39,1956,5429
1995,40,1955,4247
1995,41,1954,2972
1995,42,1953,2046
1995,43,1952,1181
1995,44,1951,691
1995,45,1950,338
1995,46,1949,155
1995,47,1948,74
1995,48,1947,22
1995,49,1946,3
1995,50,1945,3
1995,51,1944,0
1995,52,1943,0
1995,53,1942,0
1995,54,1941,0
1995,55+,1940-,0
1996,12-,1984+,1
1996,13,1983,3
1996,14,1982,32
1996,15,1981,133
1996,16,1980,796
1996,17,1979,2681
1996,18,1978,6571
1996,19,1977,13379
1996,20,1976,21381
1996,21,1975,27655
1996,22,1974,31977
1996,23,1973,33707
1996,24,1972,33382
1996,25,1971,32331
1996,26,1970,29996
1996,27,1969,26676
1996,28,1968,23434
1996,29,1967,20569
1996,30,1966,18652
1996,31,1965,16335
1996,32,1964,14573
1996,33,1963,12764
1996,34,1962,11154
1996,35,1961,9990
1996,36,1960,8956
1996,37,1959,7986
1996,38,1958,6711
1996,39,1957,5345
1996,40,1956,4052
1996,41,1955,2889
1996,42,1954,1910
1996,43,1953,1262
1996,44,1952,654
1996,45,1951,332
1996,46,1950,161
1996,47,1949,78
1996,48,1948,22
1996,49,1947,7
1996,50,1946,2
1996,51,1945,0
1996,52,1944,0
1996,53,1943,0
1996,54,1942,0
1996,55+,1941-,0
1997,12-,1985+,0
1997,13,1984,5
1997,14,1983,25
1997,15,1982,164
1997,16,1981,716
1997,17,1980,2620
1997,18,1979,6274
1997,19,1978,12321
1997,20,1977,19726
1997,21,1976,25962
1997,22,1975,30377
1997,23,1974,32321
1997,24,1973,32721
1997,25,1972,31309
1997,26,1971,29378
1997,27,1970,26476
1997,28,1969,23311
1997,29,1968,20388
1997,30,1967,17693
1997,31,1966,15538
1997,32,1965,14065
1997,33,1964,11950
1997,34,1963,10748
1997,35,1962,9207
1997,36,1961,8149
1997,37,1960,7053
1997,38,1959,6131
1997,39,1958,5145
1997,40,1957,3874
1997,41,1956,2792
1997,42,1955,1839
1997,43,1954,1185
1997,44,1953,682
1997,45,1952,326
1997,46,1951,147
1997,47,1950,62
1997,48,1949,12
1997,49,1948,7
1997,50,1947,3
1997,51,1946,1
1997,52,1945,0
1997,53,1944,0
1997,54,1943,1
1997,55+,1942-,0
1998,12-,1986+,1
